Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
DE,F1,0.37,68759.39,66027.49,64027.31,60115.82,56540.97,54335.7,52768.81,50993.37,47245.3,46313.19,43726.3,41738.63,40139.78,38648.25,36842.9,34900.15,34014.54,32898.21,31908.23,31262.62,29737.48,28674.53,27655.99,27106.75,26002.78,25237.85,25097.07,24148.93,22896.6,22380.6,21896.14,20989.88,20735.7,20151.91,18859.1,18745.79,18224.2,17956.65,17462.62,16548.65,15553.19,15309.67,14766.55,14119.11,13808.73,13437.12,12859.01,12534.95,12129.87,11577.66,11344.42,11183.91,10833.77,10571.37,10264.86,9874.32,9439.69,8958.15,8672.77,8579.34,8390.61,8176.35,7877.9,7576.32,7310.86,7071.37,6715.3,6502.91,6421.68,6179.02,5990.89,5806.74,5664.17,5531.59,5397.64,5262.81,5101.49,4892.29,4758.34,4542.09,4416.92,4309.57,4155.86,4007.58,3902.25,3754.24,3600.65,3512.18,3417.45,3332.01,3264.32,3202.65,3126.59,3011.14,2932.91,2820.92,2753.34,2696.77,2605.21,2451.09
DE,F2,0.35,5436955280537.88,2025339951509.64,1702628687518.85,474046630541.61,75314286440.65,51736286972.33,41828902482.05,9282249185.8,5749518065.18,2304289011.1,1709469592.6,1108257749.93,242011046.1,166572471.88,83686348.87,43412936.76,40531650.07,22789163.07,8860315.79,7780416.06,6139803.52,4916197.01,3534322.03,2440727.27,1216057.69,374520.2,170338.61,168913.78,147374.11,139246.52,132256.63,126770.06,107585.15,105117.69,103269.98,102766.91,93691.01,93567.94,58971.19,20361.99,20212.32,14025.46,14022.83,5073.4,2488.05,2487.74,1967.67,1950.86,1939.79,495.08,482.01,103.95,101.33,101.05,99.57,83.37,82.66,82.05,80.14,79.68,74.58,73.56,72.16,72.03,69.58,69.58,68.04,59.29,58.5,57.98,53.91,53.75,52.74,52.47,52.14,51.5,49.68,48.91,48.44,48.36,48.1,46.72,46.15,46.09,45.8,45.36,44.34,43.78,43.63,42.96,42.42,41.59,41.35,41.05,39.89,39.47,39.03,38.72,38.28,37.88
DE,F3,0.8,122190.56,118804.48,108808.95,106275.4,100517.25,99444.83,89912.16,88532.39,84049.39,80552.08,79656.25,77497.7,73614.48,71160.02,68265.18,68265.18,65974.72,65235.27,63663.11,61693.43,61032.04,58793.96,58289.03,57272.32,56418.88,55609.4,53893.24,53759.43,53076.82,51406.11,50707.01,49468.61,46646.84,46646.84,46444.03,45666.09,44675.17,44301.94,42986.95,42239.2,41414.39,40600.14,40155.46,39839.04,38796.58,38603.72,38332.27,37919.64,37370.48,36821.85,35904.51,34769.0,34499.49,34462.67,33799.99,33500.04,33500.04,33500.04,32335.31,32101.53,31685.98,31515.11,30896.34,30346.67,30279.81,29740.73,29612.27,29525.39,28587.38,28445.73,28298.19,27953.48,27813.89,27506.95,27147.05,27119.75,26486.63,26486.63,25785.95,25691.92,25387.99,25175.16,25065.09,24712.01,24525.18,24346.97,24098.57,24083.14,23710.88,23438.8,23083.6,22822.55,22486.18,22442.63,22442.63,22370.92,22040.25,21892.71,21238.11,20953.64
DE,F4,0.2,87.31,87.31,86.9,86.7,86.57,86.57,86.57,86.28,86.28,86.28,86.27,85.39,85.39,84.87,84.72,84.64,84.64,84.54,84.36,84.35,83.82,83.82,83.82,83.52,83.52,83.52,83.52,83.52,83.52,83.18,83.18,83.03,83.03,82.88,82.88,82.49,82.38,82.38,82.38,81.68,81.68,81.47,81.47,80.34,80.34,79.92,79.92,79.85,79.85,79.85,79.4,78.72,78.6,78.29,78.29,77.85,77.8,77.58,76.67,76.67,76.67,76.67,76.59,76.52,76.52,76.52,76.52,76.49,76.37,76.27,76.27,76.25,76.09,76.09,75.62,75.33,75.06,75.0,74.95,74.83,74.56,74.43,73.97,73.72,73.35,73.2,71.75,71.54,71.54,71.23,71.06,71.04,70.48,70.27,70.15,69.88,69.79,69.61,69.56,69.4
DE,F5,0.23,246739540.48,242458147.71,239328828.59,232080383.72,227688558.1,219015295.15,202233459.57,174775338.68,164216656.79,153702954.07,145605761.5,138355568.35,127722767.19,118076069.76,105063773.67,93154642.96,88304556.74,82583922.79,80962968.55,77262152.32,73544512.04,70867808.88,63208875.49,60293185.79,55699776.09,51626744.61,47200608.46,45660839.02,42883979.6,42161038.71,41420031.6,38959575.29,38203798.65,35042440.56,31776360.35,30817799.51,27804083.3,25898528.46,24607907.48,24097460.8,23130458.76,21960449.84,20802702.42,19717212.98,18700855.18,17597039.09,16457246.44,16023555.84,15929125.86,15885136.4,15272492.73,14360373.45,13893699.04,12582932.13,11949333.17,11419335.02,10883265.84,10292638.68,9596716.62,9404360.13,8947744.49,8601858.7,8342172.67,8191226.92,7801986.35,7520112.54,7282032.61,7106710.51,6725956.83,6552911.23,6300304.52,5978681.09,5607877.7,5451348.32,5309621.2,5062403.45,4710273.21,4506586.18,4382359.62,4072035.08,3974331.04,3804603.47,3506144.43,3335954.37,3314939.91,3179750.14,3063483.39,2950984.64,2825054.98,2716878.35,2561186.71,2498447.64,2397997.73,2336052.43,2226425.28,2158379.25,2070831.3,2004969.71,1873802.24,1739522.12
DE,F6,0.22,65678.29,63811.98,61075.02,57039.12,56002.88,54211.28,51510.0,50185.42,46590.87,44986.03,41573.34,40447.44,37885.23,36797.17,35888.83,35587.94,34277.25,33914.38,32812.12,31587.1,30828.79,30018.9,29178.27,28446.28,27079.65,26103.63,24687.99,23772.99,22936.87,21867.38,20573.88,19636.99,19343.93,19027.72,18875.16,18274.52,17725.98,17201.83,16733.92,16094.65,15780.01,15130.57,14938.92,14569.93,14122.03,13932.48,13475.02,12981.92,12183.76,11844.83,11644.74,10889.14,10430.69,10280.82,10158.38,9730.21,9666.93,9303.4,8876.82,8678.76,8533.6,8394.89,8227.83,8070.23,7667.72,7490.05,7103.16,6980.36,6808.3,6678.24,6463.17,6154.71,5819.93,5690.12,5432.48,5368.98,5250.62,5184.28,5132.73,4895.66,4749.07,4504.77,4298.38,4103.66,4054.52,3823.85,3704.04,3521.53,3451.21,3386.68,3312.3,3264.38,3154.0,3053.47,2891.4,2824.03,2779.39,2685.06,2665.51,2654.43
DE,F7,0.25,127.02,122.36,118.43,113.79,110.69,101.41,91.42,87.92,81.25,77.35,71.49,65.66,60.55,57.18,52.69,50.24,44.23,43.51,42.5,40.44,37.39,34.98,31.79,28.28,27.62,27.31,25.84,25.13,23.23,20.96,19.87,18.78,17.64,17.37,15.77,15.14,13.87,13.3,12.9,11.96,10.9,10.69,10.13,9.78,9.23,8.54,8.27,7.63,7.37,7.11,6.54,6.35,5.85,5.72,5.6,5.23,5.11,4.86,4.67,4.57,4.47,4.12,3.91,3.77,3.67,3.51,3.38,3.28,2.97,2.91,2.64,2.49,2.39,2.34,2.25,2.2,2.14,2.0,1.95,1.8,1.79,1.65,1.59,1.55,1.51,1.47,1.46,1.42,1.32,1.3,1.24,1.22,1.2,1.14,1.08,1.04,0.99,0.94,0.93,0.9
DE,F8,0.22,-2400.88,-2525.75,-2602.96,-2673.88,-2787.91,-2889.33,-2925.34,-2998.69,-3080.94,-3124.68,-3179.27,-3268.14,-3325.27,-3438.43,-3478.68,-3500.68,-3512.91,-3534.32,-3564.59,-3601.72,-3623.1,-3632.47,-3661.48,-3706.81,-3709.39,-3721.9,-3764.87,-3788.94,-3789.68,-3815.72,-3840.69,-3857.78,-3889.52,-3889.52,-3896.91,-3928.34,-3942.84,-3970.73,-3972.08,-3972.08,-3972.08,-3972.11,-3997.12,-4012.92,-4012.92,-4012.92,-4034.75,-4036.96,-4085.47,-4141.78,-4150.9,-4194.25,-4194.25,-4214.0,-4214.0,-4214.11,-4214.11,-4221.87,-4255.82,-4285.99,-4286.08,-4293.61,-4343.11,-4343.11,-4346.06,-4354.17,-4364.53,-4367.74,-4367.74,-4367.74,-4371.54,-4375.71,-4375.71,-4379.3,-4397.67,-4399.15,-4427.1,-4433.91,-4433.91,-4433.91,-4439.55,-4447.84,-4449.3,-4461.78,-4466.68,-4466.68,-4466.68,-4469.96,-4469.96,-4474.12,-4477.11,-4479.82,-4492.99,-4492.99,-4497.36,-4501.6,-4513.32,-4513.32,-4513.32,-4518.17
DE,F9,0.22,432.18,426.76,424.16,418.57,414.66,411.69,409.05,404.86,403.72,399.58,389.07,385.46,380.8,372.18,369.4,367.91,365.38,365.02,360.35,359.24,356.77,355.71,351.56,346.16,342.75,335.78,333.73,333.73,331.25,331.01,330.0,327.99,327.05,324.11,323.24,321.94,321.56,320.37,318.43,316.58,315.01,313.2,311.91,311.19,309.8,306.26,304.9,304.41,302.54,300.97,300.14,298.62,298.51,297.58,296.77,295.76,294.79,294.79,294.57,292.18,291.36,291.21,290.02,289.41,287.94,287.91,286.75,286.75,286.75,286.75,286.33,284.64,283.1,281.35,279.86,279.86,279.72,279.53,279.53,277.97,277.85,277.64,276.35,275.82,274.97,274.39,274.39,273.38,272.33,272.33,272.33,271.77,270.5,270.5,269.07,269.07,268.69,267.71,267.71,267.67
DE,F10,0.26,20.61,20.52,20.48,20.46,20.43,20.41,20.38,20.35,20.26,20.25,20.22,20.17,20.15,20.15,20.13,20.1,20.04,20.03,20.0,20.0,19.98,19.91,19.91,19.9,19.88,19.88,19.84,19.8,19.77,19.76,19.74,19.74,19.71,19.67,19.66,19.64,19.61,19.61,19.61,19.6,19.59,19.59,19.58,19.54,19.5,19.5,19.5,19.48,19.46,19.45,19.45,19.43,19.42,19.41,19.38,19.34,19.29,19.29,19.26,19.2,19.19,19.19,19.17,19.17,19.17,19.15,19.1,19.08,19.03,19.03,19.02,19.02,18.99,18.95,18.93,18.88,18.81,18.74,18.74,18.73,18.69,18.68,18.65,18.63,18.62,18.57,18.57,18.54,18.49,18.48,18.45,18.38,18.35,18.35,18.32,18.29,18.26,18.25,18.22,18.17
